Car_Type,Car_Year,Fuel_Type,Transmission,Price
Toyota Auris,2012 -,Petrol -,Automatic,"KSh1,400,000"
Audi A3,2012 -,Petrol -,Automatic,"KSh1,400,000"
Toyota Hilux 2.5,2005 -,Diesel -,Manual,"KSh1,420,000"
Toyota Allion A15,2011 -,Petrol -,Automatic,"KSh1,420,000"
Nissan juke,2011 -,Petrol -,Automatic,"KSh1,420,000"
Mercedes-Benz B180,2011 -,Petrol -,Automatic,"KSh1,420,000"
BMW 320i,2008 -,Petrol -,Automatic,"KSh1,420,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,420,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,430,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,430,000"
Toyota Axio,2012 -,Petrol -,Automatic,"KSh1,430,000"
Toyota Hilux 2.0 VVT-i,2007 -,Diesel -,Manual,"KSh1,450,000"
Lexus RX 450h,2006 -,Hybrid -,Automatic,"KSh1,450,000"
Mitsubishi Pajero 2.0 Pininfarina,2004 -,Petrol -,Automatic,"KSh1,450,000"
Toyota RAV4,2008 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Premio,2010 -,Petrol -,Automatic,"KSh1,450,000"
Nissan Dualis,2011 -,Petrol -,Automatic,"KSh1,450,000"
Nissan Dualis,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Allion,2011 -,Petrol -,Automatic,"KSh1,450,000"
Subaru Legacy,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Voxy,2011 -,Petrol -,Automatic,"KSh1,450,000"
Subaru Legacy,2011 -,Petrol -,Automatic,"KSh1,450,000"
Subaru Legacy,2011 -,Petrol -,Automatic,"KSh1,450,000"
Subaru Legacy,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Allion,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Allion,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Mark X,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Allion A20,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Mark X,2011 -,Petrol -,Automatic,"KSh1,450,000"
Audi A3,2011 -,Petrol -,Automatic,"KSh1,450,000"
Nissan Dualis,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Allion A15,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Allion A18 4WD,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Allion A18 4WD,2011 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,450,000"
Audi A3,2012 -,Petrol -,Automatic,"KSh1,450,000"
Toyota Alphard,2008 -,Petrol -,Automatic,"KSh1,475,000"
Audi A3,2011 -,Petrol -,Automatic,"KSh1,480,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,480,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,480,000"
Audi A3,2012 -,Petrol -,Automatic,"KSh1,499,000"
Land Rover Discovery III,2011 -,Diesel -,Automatic,"KSh1,500,000"
Mercedes-Benz C250,2008 -,Petrol -,Automatic,"KSh1,500,000"
Subaru Forester 2.0,2010 -,Petrol -,Automatic,"KSh1,500,000"
Subaru Exiga,2010 -,Petrol -,Automatic,"KSh1,500,000"
Toyota Allion,2010 -,Petrol -,Automatic,"KSh1,500,000"
Toyota Camry,2011 -,Petrol -,Automatic,"KSh1,500,000"
Toyota Noah,2011 -,Petrol -,Automatic,"KSh1,500,000"
Toyota Allion 1.8,2011 -,Petrol -,Automatic,"KSh1,500,000"
Toyota Crown,2011 -,Petrol -,Automatic,"KSh1,500,000"
Toyota Avensis 1.6 GS,2011 -,Petrol -,Automatic,"KSh1,500,000"
Toyota Allion,2011 -,Petrol -,Automatic,"KSh1,500,000"
Volvo S80 2.5 T,2004 -,Petrol -,Automatic,"KSh1,500,000"
Volvo S80 2.5 T,2004 -,Petrol -,Automatic,"KSh1,500,000"
Jaguar S-Type,2005 -,Petrol -,Automatic,"KSh1,500,000"
Toyota Vanguard,2009 -,Petrol -,Automatic,"KSh1,500,000"
Toyota Hilux 2.5,2008 -,Diesel -,Manual,"KSh1,550,000"
Audi A3,2010 -,Petrol -,Automatic,"KSh1,550,000"
Audi A3,2010 -,Petrol -,Automatic,"KSh1,550,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,550,000"
Toyota Allion 1.8,2011 -,Petrol -,Automatic,"KSh1,550,000"
Nissan Dualis,2011 -,Petrol -,Automatic,"KSh1,550,000"
Toyota Estima,2011 -,Petrol -,Automatic,"KSh1,550,000"
Toyota Voxy,2010 -,Petrol -,Automatic,"KSh1,550,000"
Subaru Legacy 2.0,2011 -,Petrol -,Automatic,"KSh1,550,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,550,000"
Toyota Camry 2.4 G,2011 -,Petrol -,Automatic,"KSh1,550,000"
Peugeot 3008 Crossover,2011 -,Petrol -,Automatic,"KSh1,550,000"
Nissan Dualis,2010 -,Petrol -,Automatic,"KSh1,575,000"
Toyota Rush,2011 -,Petrol -,Automatic,"KSh1,575,000"
Subaru Legacy 2.5 Automatic,2011 -,Petrol -,Automatic,"KSh1,575,000"
Toyota Mark X Rio,2011 -,Petrol -,Automatic,"KSh1,580,000"
Toyota Mark X,2011 -,Petrol -,Automatic,"KSh1,580,000"
Mercedes-Benz E220,2007 -,Diesel -,Automatic,"KSh1,600,000"
Subaru Outback 2.5,2007 -,Petrol -,Automatic,"KSh1,600,000"
Nissan X-Trail 2.0,2009 -,Petrol -,Automatic,"KSh1,600,000"
Toyota Premio,2010 -,Petrol -,Automatic,"KSh1,600,000"
Toyota Crown,2010 -,Petrol -,Automatic,"KSh1,600,000"
Toyota Rush,2011 -,Petrol -,Automatic,"KSh1,600,000"
Toyota Noah,2011 -,Petrol -,Automatic,"KSh1,600,000"
Toyota Crown 1500,2011 -,Petrol -,Automatic,"KSh1,600,000"
Toyota Rush,2011 -,Petrol -,Automatic,"KSh1,600,000"
Subaru Legacy 2.5,2011 -,Petrol -,Automatic,"KSh1,600,000"
